name,rating,reviews,service
Canara HSBC Life Insurance,4.1,(3.3k),Insurance | Gurugram +370 other locations
GeBBS Healthcare Solutions,3.8,(3.3k),BPO | Mumbai +26 other locations
Tata AutoComp Systems,3.7,(3.3k),Auto Components | Pune +82 other locations
Jindal Stainless,4.1,(3.3k),Iron & Steel | Jajpur +78 other locations
UPL,4.1,(3.2k),Agro Chemicals | Ankleshwar +185 other locations
PepsiCo,4.0,(3.2k),Food Processing | Hyderabad +282 other locations
Mankind Pharma,3.8,(3.2k),Pharma | New Delhi +250 other locations
Max Healthcare,4.0,(3.2k),Healthcare | New Delhi +78 other locations
Allcargo Logistics,3.8,(3.2k),Logistics | Mumbai +175 other locations
Titan Company,4.2,(3.2k),Retail | Bengaluru +186 other locations
Amazon Transportation Services,4.2,(3.2k),Logistics | Hyderabad +226 other locations
Dilip Buildcon,3.9,(3.2k),Engineering & Construction | Bhopal +230 other locations
S&P Global,3.9,(3.2k),Analytics & KPO | Hyderabad +48 other locations
Societe Generale Global Solution Centre,3.6,(3.2k),IT Services & Consulting | Bengaluru +24 other locations
Varroc Group,3.6,(3.2k),Auto Components | Pune +63 other locations
MSN Laboratories,3.6,(3.2k),Pharma | Hyderabad +107 other locations
Varroc Group,3.6,(3.2k),Auto Components | Pune +63 other locations
Quest Global,3.5,(3.2k),IT Services & Consulting | Bengaluru +49 other locations
Afcons Infrastructure,4.2,(3.1k),Engineering & Construction | Mumbai +125 other locations
Ola Electric Mobility,3.3,(3.1k),Automobile | Bengaluru +445 other locations
ESAF Small Finance Bank,3.6,(3.1k),Banking | Thrissur +460 other locations
Marpu Foundation,4.9,(3.1k),Non-Profit | Hyderabad +61 other locations
Torrent Pharmaceuticals,4.0,(3.1k),Pharma | Ahmedabad +133 other locations
Tata Electronics,3.8,(3.1k),Semiconductors | Hosur +62 other locations
IDFC FIRST Bharat,4.2,(3.1k),Financial Services | Chennai +447 other locations
DS Group,4.0,(3.1k),FMCG | Noida +294 other locations
Tata Elxsi,3.4,(3.1k),IT Services & Consulting | Bengaluru +31 other locations
Bharat Financial Inclusion,3.7,(3.1k),Financial Services | Hyderabad +513 other locations
Zepto,3.6,(3.1k),Internet | Bengaluru +110 other locations
Square Yards,3.5,(3.1k),Internet | Gurugram +51 other locations
HDFC Sales,3.9,(3k),Financial Services | Mumbai +354 other locations
Zensar Technologies,3.7,(3k),IT Services & Consulting | Pune +29 other locations
Suzlon Group,4.0,(3k),Power | Pune +148 other locations
Future Group,4.2,(3k),Retail | Mumbai +207 other locations
Indus Towers,3.6,(3k),Telecom | Gurugram +245 other locations
CMS IT Services,3.1,(3k),IT Services & Consulting | Mumbai +153 other locations
Fujitsu,3.8,(3k),IT Services & Consulting | Pune +41 other locations
I Process Services,3.8,(3k),Recruitment | Mumbai +407 other locations
Eternal Limited,3.6,(3k),Internet | Gurugram +220 other locations
VVDN Technologies,3.6,(3k),IT Services & Consulting | Gurugram +51 other locations
ACC,3.9,(3k),Building Material | Mumbai +277 other locations
IKS Health,3.5,(3k),BPO | Mumbai +33 other locations
Yazaki,3.9,(3k),Auto Components | Pune +94 other locations
Nokia,4.0,(3k),Telecom | Bengaluru +165 other locations
Shoppers Stop,3.9,(3k),Retail | Mumbai +85 other locations
Shree Cement,3.8,(2.9k),Building Material | Beawar +269 other locations
Apollo Tyres,4.0,(2.9k),Auto Components | Chennai +182 other locations
Fiserv,2.8,(2.9k),FinTech | Pune +33 other locations
Britannia,3.9,(2.9k),Hospitality | Pune +307 other locations
Landmark Group,3.8,(2.8k),Retail | Bengaluru +175 other locations
Dalmia Bharat Cement,3.9,(2.8k),Building Material | Guwahati +255 other locations
Exl India,3.5,(2.8k),Logistics | New Delhi +45 other locations
Physicswallah,3.6,(2.8k),EdTech | Noida +146 other locations
SRF,4.1,(2.8k),Chemicals | Bharuch +68 other locations
Kansai Nerolac Paints,3.8,(2.8k),Chemicals | Mumbai +265 other locations
Blue Dart Express Ltd,3.9,(2.8k),Logistics | Mumbai +280 other locations
ZS,3.0,(2.8k),Management Consulting | Pune +17 other locations
Nestlé,3.8,(2.8k),FMCG | Gurugram +284 other locations
Exide Industries,3.4,(2.8k),Electrical Equipment | Kolkata +199 other locations
UnitedHealth,4.0,(2.8k),Healthcare | Hyderabad +18 other locations
Star Health & Allied Insurance,3.5,(2.8k),Insurance | Chennai +338 other locations
Foxconn,3.8,(2.8k),Electronics Manufacturing | Chennai +64 other locations
Shell,3.9,(2.8k),Oil & Gas | Bengaluru +91 other locations
KPMG Global Services,3.4,(2.7k),Management Consulting | Bengaluru +38 other locations
Micro Labs,3.6,(2.7k),Pharma | Bengaluru +156 other locations
TVS Supply Chain Solutions,3.8,(2.7k),Logistics | Chennai +156 other locations
Flex,3.9,(2.7k),Electronics Manufacturing | Chennai +46 other locations
ElasticRun,3.6,(2.7k),Logistics | Pune +390 other locations
KFintech,3.3,(2.7k),Financial Services | Hyderabad +114 other locations
Care Health Insurance,3.5,(2.7k),Insurance | Gurugram +258 other locations
Capita,3.5,(2.7k),BPO | Pune +32 other locations
Gallagher,3.6,(2.7k),Insurance | Bengaluru +30 other locations
G4S,4.0,(2.7k),Law Enforcement & Security | Gurugram +168 other locations
Ajanta Pharma,3.9,(2.7k),Pharma | Mumbai +118 other locations
Blue Star,4.0,(2.7k),Consumer Electronics & Appliances | Mumbai +150 other locations
Sonalika Tractors,3.5,(2.7k),Automobile | Hoshiarpur +197 other locations
Whitehat jr,3.3,(2.7k),EdTech | Mumbai +48 other locations
Movate,3.1,(2.7k),IT Services & Consulting | Chennai +38 other locations
Tata Advanced Systems,3.7,(2.7k),Defence & Aerospace | Bengaluru +58 other locations
Voltas,4.0,(2.7k),Consumer Electronics & Appliances | Mumbai +203 other locations
Photon Interactive,4.0,(2.7k),IT Services & Consulting | Chennai +19 other locations
Adani Power,3.7,(2.6k),Power | Mundra +131 other locations
DBS Bank,3.7,(2.6k),Banking | Hyderabad +181 other locations
NoBroker,3.0,(2.6k),Internet | Bengaluru +47 other locations
BlackBuck,3.7,(2.6k),Internet | Bengaluru +363 other locations
ACT Fibernet,3.8,(2.6k),Telecom | Hyderabad +58 other locations
Foundever,3.3,(2.6k),BPO | Hyderabad +21 other locations
IntouchCX,2.7,(2.6k),BPO | Hyderabad +22 other locations
Domino's Pizza,3.9,(2.6k),Hospitality | New Delhi +255 other locations
Himalaya Wellness,3.9,(2.6k),Pharma | Bengaluru +245 other locations
Laurus Labs,4.3,(2.6k),Pharma | Visakhapatnam +35 other locations
Fortis Healthcare,4.0,(2.6k),Healthcare | New Delhi +69 other locations
BT Group,3.8,(2.6k),Telecom | Gurugram +26 other locations
V-Mart,4.0,(2.6k),Retail | Gurugram +287 other locations
Sahrudaya Healthcare (Medicover Hospitals),4.4,(2.6k),Healthcare | Hyderabad +46 other locations
JCB,3.9,(2.6k),Industrial Machinery | Pune +111 other locations
Alldigi Tech,3.8,(2.6k),BPO | Chennai +36 other locations
Northern Trust Operating Services,3.6,(2.6k),Financial Services | Bengaluru +28 other locations
Sterlite Technologies,3.8,(2.5k),Hardware & Networking | Chhatrapati Sambhajinagar +100 other locations
Adani Group,3.8,(2.5k),Power | Ahmedabad +201 other locations
Tractors and Farm Equipment,3.9,(2.5k),Industrial Machinery | Chennai +192 other locations
Bajaj Electricals,3.9,(2.5k),Consumer Electronics & Appliances | Mumbai +235 other locations
CorroHealth Infotech,3.6,(2.5k),Analytics & KPO | Hyderabad +38 other locations
Sammaan Capital Limited,3.7,(2.5k),NBFC | Gurugram +199 other locations
Parle Agro,3.9,(2.5k),Beverage | Mumbai +259 other locations
GAO Tek,4.4,(2.5k),Electrical Equipment | New York +45 other locations
ICICI Securities,3.9,(2.5k),Financial Services | Mumbai +154 other locations
Emcure Pharmaceuticals,3.6,(2.5k),Pharma | Pune +121 other locations
Planet Spark,3.8,(2.5k),EdTech | Gurugram +59 other locations
Biocon Limited,4.0,(2.5k),Biotechnology | Bengaluru +66 other locations
TaskUs,3.0,(2.5k),BPO | Indore +38 other locations
Hero FinCorp,3.9,(2.5k),NBFC | New Delhi +395 other locations
Mahindra Holidays & Resorts,3.5,(2.5k),Hospitality | Mumbai +114 other locations
Cadila Pharmaceuticals,3.2,(2.5k),Pharma | Ahmedabad +139 other locations
Mahindra Rural Housing Finance,4.0,(2.5k),NBFC | Mumbai +475 other locations
